revenue_category,year,power_code_code,value,mean_value
Total tax revenue,2008,600000,0.1544245917944343,0.25911683682628517
Total tax revenue,2009,600000,0.173108062900636,0.25911683682628517
Total tax revenue,2010,600000,0.18998759369113438,0.25911683682628517
Total tax revenue,2011,600000,0.2130764295633189,0.25911683682628517
Total tax revenue,2012,600000,0.22031919367493263,0.25911683682628517
Total tax revenue,2013,600000,0.26445459996029574,0.25911683682628517
Total tax revenue,2014,600000,0.30247971160957476,0.25911683682628517
Total tax revenue,2015,600000,0.33698030142179997,0.25911683682628517
Total tax revenue,2016,600000,0.34310909800983996,0.25911683682628517
Total tax revenue,2017,600000,0.34812067673139513,0.25911683682628517
Total tax revenue,2018,600000,0.40782257528169213,0.25911683682628517
Total tax revenue,2019,600000,0.4057624079340369,0.25911683682628517
Total tax revenue,2020,600000,0.3819162921688237,0.25911683682628517
Total tax revenue,2021,600000,0.43469906075090914,0.25911683682628517
Total tax revenue,2004,600000,0.11566350249951368,0.25911683682628517
Total tax revenue,2005,600000,0.11646608717219664,0.25911683682628517
Total tax revenue,2006,600000,0.12053876683990158,0.25911683682628517
Total tax revenue,2007,600000,0.13517411086869663,0.25911683682628517
Total tax revenue,2008,600000,0.1544245917944343,0.25911683682628517
Total tax revenue,2009,600000,0.173108062900636,0.25911683682628517
Total tax revenue,2010,600000,0.18998759369113438,0.25911683682628517
Total tax revenue,2011,600000,0.2130764295633189,0.25911683682628517
Total tax revenue,2012,600000,0.22031919367493263,0.25911683682628517
Total tax revenue,2013,600000,0.26445459996029574,0.25911683682628517
Total tax revenue,2014,600000,0.30247971160957476,0.25911683682628517
Total tax revenue,2015,600000,0.33698030142179997,0.25911683682628517
Total tax revenue,2016,600000,0.34310909800983996,0.25911683682628517
Total tax revenue,2017,600000,0.34812067673139513,0.25911683682628517
Total tax revenue,2018,600000,0.40782257528169213,0.25911683682628517
Total tax revenue,2019,600000,0.4057624079340369,0.25911683682628517
Total tax revenue,2020,600000,0.3819162921688237,0.25911683682628517
Total tax revenue,2021,600000,0.43469906075090914,0.25911683682628517
"1000 Taxes on income, profits and capital gains",2004,600000,0.0826692216028791,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2005,600000,0.08367992823242852,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2006,600000,0.08480574700630915,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2007,600000,0.09277598786671994,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2008,600000,0.1050335810428,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2009,600000,0.12135385283147371,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2010,600000,0.12592148471663758,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2011,600000,0.1445916044142657,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2012,600000,0.13828928952004435,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2013,600000,0.17783046111364745,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2014,600000,0.19662879433780261,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2015,600000,0.22592088465333088,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2016,600000,0.23006687205500176,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2017,600000,0.22214028580015188,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2018,600000,0.24853157008064347,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2019,600000,0.24613961772967047,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2020,600000,0.23051291911296634,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2021,600000,0.251417624559391,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2004,600000,0.0826692216028791,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2005,600000,0.08367992823242852,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2006,600000,0.08480574700630915,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2007,600000,0.09277598786671994,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2008,600000,0.1050335810428,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2009,600000,0.12135385283147371,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2010,600000,0.12592148471663758,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2011,600000,0.1445916044142657,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2012,600000,0.13828928952004435,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2013,600000,0.17783046111364745,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2014,600000,0.19662879433780261,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2015,600000,0.22592088465333088,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2016,600000,0.23006687205500176,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2017,600000,0.22214028580015188,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2018,600000,0.24853157008064347,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2019,600000,0.24613961772967047,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2020,600000,0.23051291911296634,0.16712831814867582
"1000 Taxes on income, profits and capital gains",2021,600000,0.251417624559391,0.16712831814867582
"1100 Taxes on income, profits and capital gains of individuals",2004,600000,0.07172781728472354,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2005,600000,0.07423458174837445,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2006,600000,0.07474228531110032,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2007,600000,0.0791513504674743,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2008,600000,0.08586805908023296,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2009,600000,0.08665099167962219,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2010,600000,0.1023257453661361,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2011,600000,0.11679997239708788,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2012,600000,0.11563084905457524,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2013,600000,0.1469488030987269,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2014,600000,0.15128271032593937,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2015,600000,0.16755517707118098,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2016,600000,0.1781244921339201,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2017,600000,0.18092608770225257,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2018,600000,0.19893383751985833,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2019,600000,0.2004743500439296,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2020,600000,0.18589536196068682,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2021,600000,0.2051174898951839,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2004,600000,0.07172781728472354,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2005,600000,0.07423458174837445,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2006,600000,0.07474228531110032,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2007,600000,0.0791513504674743,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2008,600000,0.08586805908023296,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2009,600000,0.08665099167962219,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2010,600000,0.1023257453661361,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2011,600000,0.11679997239708788,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2012,600000,0.11563084905457524,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2013,600000,0.1469488030987269,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2014,600000,0.15128271032593937,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2015,600000,0.16755517707118098,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2016,600000,0.1781244921339201,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2017,600000,0.18092608770225257,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2018,600000,0.19893383751985833,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2019,600000,0.2004743500439296,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2020,600000,0.18589536196068682,0.13457722011894477
"1100 Taxes on income, profits and capital gains of individuals",2021,600000,0.2051174898951839,0.13457722011894477
1110 On income and profits of individuals,2004,600000,0.07172781728472354,0.13457722011894477
1110 On income and profits of individuals,2005,600000,0.07423458174837445,0.13457722011894477
1110 On income and profits of individuals,2006,600000,0.07474228531110032,0.13457722011894477
1110 On income and profits of individuals,2007,600000,0.0791513504674743,0.13457722011894477
1110 On income and profits of individuals,2008,600000,0.08586805908023296,0.13457722011894477
1110 On income and profits of individuals,2009,600000,0.08665099167962219,0.13457722011894477
1110 On income and profits of individuals,2010,600000,0.1023257453661361,0.13457722011894477
1110 On income and profits of individuals,2011,600000,0.11679997239708788,0.13457722011894477
1110 On income and profits of individuals,2012,600000,0.11563084905457524,0.13457722011894477
1110 On income and profits of individuals,2013,600000,0.1469488030987269,0.13457722011894477
1110 On income and profits of individuals,2014,600000,0.15128271032593937,0.13457722011894477
1110 On income and profits of individuals,2015,600000,0.16755517707118098,0.13457722011894477
1110 On income and profits of individuals,2016,600000,0.1781244921339201,0.13457722011894477
1110 On income and profits of individuals,2017,600000,0.18092608770225257,0.13457722011894477
1110 On income and profits of individuals,2018,600000,0.19893383751985833,0.13457722011894477
1110 On income and profits of individuals,2019,600000,0.2004743500439296,0.13457722011894477
1110 On income and profits of individuals,2020,600000,0.18589536196068682,0.13457722011894477
1110 On income and profits of individuals,2021,600000,0.2051174898951839,0.13457722011894477
1110 On income and profits of individuals,2004,600000,0.07172781728472354,0.13457722011894477
1110 On income and profits of individuals,2005,600000,0.07423458174837445,0.13457722011894477
1110 On income and profits of individuals,2006,600000,0.07474228531110032,0.13457722011894477
1110 On income and profits of individuals,2007,600000,0.0791513504674743,0.13457722011894477
1110 On income and profits of individuals,2008,600000,0.08586805908023296,0.13457722011894477
1110 On income and profits of individuals,2009,600000,0.08665099167962219,0.13457722011894477
1110 On income and profits of individuals,2010,600000,0.1023257453661361,0.13457722011894477
1110 On income and profits of individuals,2011,600000,0.11679997239708788,0.13457722011894477
1110 On income and profits of individuals,2012,600000,0.11563084905457524,0.13457722011894477
1110 On income and profits of individuals,2013,600000,0.1469488030987269,0.13457722011894477
1110 On income and profits of individuals,2014,600000,0.15128271032593937,0.13457722011894477
1110 On income and profits of individuals,2015,600000,0.16755517707118098,0.13457722011894477
1110 On income and profits of individuals,2016,600000,0.1781244921339201,0.13457722011894477
1110 On income and profits of individuals,2017,600000,0.18092608770225257,0.13457722011894477
1110 On income and profits of individuals,2018,600000,0.19893383751985833,0.13457722011894477
1110 On income and profits of individuals,2019,600000,0.2004743500439296,0.13457722011894477
1110 On income and profits of individuals,2020,600000,0.18589536196068682,0.13457722011894477
1110 On income and profits of individuals,2021,600000,0.2051174898951839,0.13457722011894477
Personal income tax,2004,600000,0.07172781728472354,0.11617564819755152
Personal income tax,2005,600000,0.07423458174837445,0.11617564819755152
Personal income tax,2006,600000,0.07474228531110032,0.11617564819755152
Personal income tax,2007,600000,0.0791513504674743,0.11617564819755152
Personal income tax,2008,600000,0.08586805908023296,0.11617564819755152
Personal income tax,2009,600000,0.08665099167962219,0.11617564819755152
Personal income tax,2010,600000,0.1023257453661361,0.11617564819755152
Personal income tax,2011,600000,0.11679997239708788,0.11617564819755152
Personal income tax,2012,600000,0.11563084905457524,0.11617564819755152
Personal income tax,2013,600000,0.1255795986476573,0.11617564819755152
Personal income tax,2014,600000,0.1259129338145174,0.11617564819755152
Personal income tax,2015,600000,0.13017133307563947,0.11617564819755152
Personal income tax,2016,600000,0.1415981886088982,0.11617564819755152
Personal income tax,2017,600000,0.14219940203691486,0.11617564819755152
Personal income tax,2018,600000,0.1539531920617625,0.11617564819755152
Personal income tax,2019,600000,0.1581423340162387,0.11617564819755152
Personal income tax,2020,600000,0.14447879251261006,0.11617564819755152
Personal income tax,2021,600000,0.16199424039236138,0.11617564819755152
Personal income tax,2004,600000,0.07172781728472354,0.11617564819755152
Personal income tax,2005,600000,0.07423458174837445,0.11617564819755152
Personal income tax,2006,600000,0.07474228531110032,0.11617564819755152
Personal income tax,2007,600000,0.0791513504674743,0.11617564819755152
Personal income tax,2008,600000,0.08586805908023296,0.11617564819755152
Personal income tax,2009,600000,0.08665099167962219,0.11617564819755152
Personal income tax,2010,600000,0.1023257453661361,0.11617564819755152
Personal income tax,2011,600000,0.11679997239708788,0.11617564819755152
Personal income tax,2012,600000,0.11563084905457524,0.11617564819755152
Personal income tax,2013,600000,0.1255795986476573,0.11617564819755152
Personal income tax,2014,600000,0.1259129338145174,0.11617564819755152
Personal income tax,2015,600000,0.13017133307563947,0.11617564819755152
Personal income tax,2016,600000,0.1415981886088982,0.11617564819755152
Personal income tax,2017,600000,0.14219940203691486,0.11617564819755152
Personal income tax,2018,600000,0.1539531920617625,0.11617564819755152
Personal income tax,2019,600000,0.1581423340162387,0.11617564819755152
Personal income tax,2020,600000,0.14447879251261006,0.11617564819755152
Personal income tax,2021,600000,0.16199424039236138,0.11617564819755152
Withholding tax,2004,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2005,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2006,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2007,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2008,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2009,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2010,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2011,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2012,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2013,600000,0.06470637652272314,0.06173874954918855
Withholding tax,2014,600000,0.06870694858307551,0.06173874954918855
Withholding tax,2015,600000,0.08072101606719508,0.06173874954918855
Withholding tax,2016,600000,0.07986347559667543,0.06173874954918855
Withholding tax,2017,600000,0.08206390774226681,0.06173874954918855
Withholding tax,2018,600000,0.08831781752974939,0.06173874954918855
Withholding tax,2019,600000,0.08566918809934447,0.06173874954918855
Withholding tax,2020,600000,0.08475374151973032,0.06173874954918855
Withholding tax,2021,600000,0.08646047157975166,0.06173874954918855
Withholding tax,2004,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2005,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2006,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2007,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2008,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2009,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2010,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2011,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2012,600000,0.04333717207165356,0.06173874954918855
Withholding tax,2013,600000,0.06470637652272314,0.06173874954918855
Withholding tax,2014,600000,0.06870694858307551,0.06173874954918855
Withholding tax,2015,600000,0.08072101606719508,0.06173874954918855
Withholding tax,2016,600000,0.07986347559667543,0.06173874954918855
Withholding tax,2017,600000,0.08206390774226681,0.06173874954918855
Withholding tax,2018,600000,0.08831781752974939,0.06173874954918855
Withholding tax,2019,600000,0.08566918809934447,0.06173874954918855
Withholding tax,2020,600000,0.08475374151973032,0.06173874954918855
Withholding tax,2021,600000,0.08646047157975166,0.06173874954918855
1120 On capital gains of individuals,2004,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2005,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2006,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2007,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2008,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2009,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2010,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2011,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2012,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2013,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2014,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2015,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2016,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2017,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2018,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2019,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2020,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2021,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2004,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2005,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2006,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2007,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2008,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2009,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2010,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2011,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2012,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2013,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2014,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2015,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2016,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2017,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2018,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2019,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2020,600000,0.04333717207165356,0.043337172071653565
1120 On capital gains of individuals,2021,600000,0.04333717207165356,0.043337172071653565
"1200 Taxes on income, profits and capital gains of corporates",2004,600000,0.05427857638980912,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2005,600000,0.05278251855570762,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2006,600000,0.053400633766862396,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2007,600000,0.05696180947089917,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2008,600000,0.06250269403422061,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2009,600000,0.07803998321822951,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2010,600000,0.06693291142215503,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2011,600000,0.07112880408883136,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2012,600000,0.06599561253712266,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2013,600000,0.07345439943914082,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2014,600000,0.08754213569531584,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2015,600000,0.09999834982590661,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2016,600000,0.09287059784807296,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2017,600000,0.08288019386045227,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2018,600000,0.09127342934679608,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2019,600000,0.08753923538933357,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2020,600000,0.08642491782883092,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2021,600000,0.08760504233196602,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2004,600000,0.05427857638980912,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2005,600000,0.05278251855570762,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2006,600000,0.053400633766862396,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2007,600000,0.05696180947089917,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2008,600000,0.06250269403422061,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2009,600000,0.07803998321822951,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2010,600000,0.06693291142215503,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2011,600000,0.07112880408883136,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2012,600000,0.06599561253712266,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2013,600000,0.07345439943914082,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2014,600000,0.08754213569531584,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2015,600000,0.09999834982590661,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2016,600000,0.09287059784807296,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2017,600000,0.08288019386045227,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2018,600000,0.09127342934679608,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2019,600000,0.08753923538933357,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2020,600000,0.08642491782883092,0.07508954694720293
"1200 Taxes on income, profits and capital gains of corporates",2021,600000,0.08760504233196602,0.07508954694720293
1210 On profits of corporates,2004,600000,0.05427857638980912,0.07508954694720293
1210 On profits of corporates,2005,600000,0.05278251855570762,0.07508954694720293
1210 On profits of corporates,2006,600000,0.053400633766862396,0.07508954694720293
1210 On profits of corporates,2007,600000,0.05696180947089917,0.07508954694720293
1210 On profits of corporates,2008,600000,0.06250269403422061,0.07508954694720293
1210 On profits of corporates,2009,600000,0.07803998321822951,0.07508954694720293
1210 On profits of corporates,2010,600000,0.06693291142215503,0.07508954694720293
1210 On profits of corporates,2011,600000,0.07112880408883136,0.07508954694720293
1210 On profits of corporates,2012,600000,0.06599561253712266,0.07508954694720293
1210 On profits of corporates,2013,600000,0.07345439943914082,0.07508954694720293
1210 On profits of corporates,2014,600000,0.08754213569531584,0.07508954694720293
1210 On profits of corporates,2015,600000,0.09999834982590661,0.07508954694720293
1210 On profits of corporates,2016,600000,0.09287059784807296,0.07508954694720293
1210 On profits of corporates,2017,600000,0.08288019386045227,0.07508954694720293
1210 On profits of corporates,2018,600000,0.09127342934679608,0.07508954694720293
1210 On profits of corporates,2019,600000,0.08753923538933357,0.07508954694720293
1210 On profits of corporates,2020,600000,0.08642491782883092,0.07508954694720293
1210 On profits of corporates,2021,600000,0.08760504233196602,0.07508954694720293
1210 On profits of corporates,2004,600000,0.05427857638980912,0.07508954694720293
1210 On profits of corporates,2005,600000,0.05278251855570762,0.07508954694720293
1210 On profits of corporates,2006,600000,0.053400633766862396,0.07508954694720293
1210 On profits of corporates,2007,600000,0.05696180947089917,0.07508954694720293
1210 On profits of corporates,2008,600000,0.06250269403422061,0.07508954694720293
1210 On profits of corporates,2009,600000,0.07803998321822951,0.07508954694720293
1210 On profits of corporates,2010,600000,0.06693291142215503,0.07508954694720293
1210 On profits of corporates,2011,600000,0.07112880408883136,0.07508954694720293
1210 On profits of corporates,2012,600000,0.06599561253712266,0.07508954694720293
1210 On profits of corporates,2013,600000,0.07345439943914082,0.07508954694720293
1210 On profits of corporates,2014,600000,0.08754213569531584,0.07508954694720293
1210 On profits of corporates,2015,600000,0.09999834982590661,0.07508954694720293
1210 On profits of corporates,2016,600000,0.09287059784807296,0.07508954694720293
1210 On profits of corporates,2017,600000,0.08288019386045227,0.07508954694720293
1210 On profits of corporates,2018,600000,0.09127342934679608,0.07508954694720293
1210 On profits of corporates,2019,600000,0.08753923538933357,0.07508954694720293
1210 On profits of corporates,2020,600000,0.08642491782883092,0.07508954694720293
1210 On profits of corporates,2021,600000,0.08760504233196602,0.07508954694720293
Corporate income tax,2004,600000,0.05427857638980912,0.07493887549580926
Corporate income tax,2005,600000,0.05278251855570762,0.07493887549580926
Corporate income tax,2006,600000,0.053400633766862396,0.07493887549580926
Corporate income tax,2007,600000,0.05696180947089917,0.07493887549580926
Corporate income tax,2008,600000,0.06250269403422061,0.07493887549580926
Corporate income tax,2009,600000,0.07803998321822951,0.07493887549580926
Corporate income tax,2010,600000,0.06693291142215503,0.07493887549580926
Corporate income tax,2011,600000,0.07112880408883136,0.07493887549580926
Corporate income tax,2012,600000,0.06599561253712266,0.07493887549580926
Corporate income tax,2013,600000,0.07310961306417826,0.07493887549580926
Corporate income tax,2014,600000,0.08719604918318882,0.07493887549580926
Corporate income tax,2015,600000,0.09961890979498336,0.07493887549580926
